id	first_name	middle_name	last_name	birthday	address
1	Nikolaj	Fedorovich	Sokolov	2000-10-01	ul. Pushkina, d. 36, kv. 5
2	Vyacheslav	Evgenevich	Eliseev	2000-11-21	ul. Pushkina, d. 40, kv. 7
3	Ivan	Antonovich	Efremov	2000-09-19	ul. Pushkina, d. 58, kv. 16
4	Anatolij	Valentinovich	ZHdanov	2007-07-15	ul. Pushkina, d. 21, kv. 7
5	Georgij	Dmitrievich	Noskov	2000-03-03	ul. Pushkina, d. 45, kv. 65
6	Artyom	Borisovich	Sergeev	2007-01-01	ul. Pushkina, d. 1, kv. 5
7	Arina	Fyodorovna	Evseeva	2000-08-11	ul. Pushkina, d. 21, kv. 51
11	Leonid	Nikitich	Ignatov	2007-12-30	ul. Pushkina, d. 78, kv. 9
12	Snezhana	YAkovlevna	Seliverstova	2000-07-23	ul. Pushkina, d. 78, kv. 56
26	Dmitrij	Leonidovich	Trofimov	2001-05-06	ul. Pushkina, d. 78, kv. 9
35	Svyatoslav	Vyacheslavovich	Tarasov	2002-01-14	ul. Pushkina, d. 5, kv. 6
50	Nataliya	Igorevna	Myasnikova	2002-04-02	ul. Pushkina, d. 1, kv. 23
54	Roman	Nikolaevich	SHilov	2003-08-06	ul. Pushkina, d. 56, kv. 80
60	Aleksandra	Andreevna	Belozyorova	2003-02-12	ul. Pushkina, d. 3, kv. 21
78	Vera	Lvovna	Evseeva	2004-07-04	ul. Pushkina, d. 5, kv. 13
